identifier	synonyms	search
KYSE-70	ky70	esophageal
KYSE-410	kyse-410	esophageal
KYSE-140	kyse 140	esophageal
KYSE-450	kyse 450	esophageal
KYSE-450	kyse450	esophageal
TE-8	te8	esophageal
KYSE-520	kyse-520	esophageal
TE-11	te11	esophageal
KYSE-150	kyse-150	esophageal
COLO 680N	colo 680n	esophageal
KYSE-220	ky-220	esophageal
COLO 680N	colo-680n	esophageal
OE21	oe21	esophageal
OE21	oe-21	esophageal
KYSE-450	kyse-450	esophageal
KYSE-410	kyse410	esophageal
KYSE-180	kyse180	esophageal
TE-11	te-11	esophageal
KYSE-70	kyse 70	esophageal
TE-5	te5	esophageal
KYSE-270	kyse-270	esophageal
COLO 680N	colo680n	esophageal
TE-9	te-9	esophageal
KYSE-270	ky-270	esophageal
KYSE-180	kyse-180	esophageal
TE-9	te9	esophageal
KYSE-150	ky150	esophageal
TE-5	te-5	esophageal
KYSE-220	kyse 220	esophageal
KYSE-520	kyse 520	esophageal
TE-10	te10	esophageal
KYSE-70	kyse-70	esophageal
KYSE-520	kyse520	esophageal
TE-6	te-6	esophageal
TE-1	te-1	esophageal
OE21	jroecl 21	esophageal
KYSE-510	kyse510	esophageal
KYSE-140	kyse-140	esophageal
KYSE-220	kyse220	esophageal
T.T	t.t	esophageal
TE-6	te6	esophageal
KYSE-50	ky-50	esophageal
TE-1	te1	esophageal
KYSE-50	kyse50	esophageal
OE21	jroecl21	esophageal
KYSE-520	kyse0520	esophageal
TE-8	te-8	esophageal
KYSE-510	kyse-510	esophageal
T.T	tt	esophageal
OACM5.1 C	oacm5.1 c	esophageal
KYAE-1	kyae-1	esophageal
KYAE-1	kyae1	esophageal
OE19	oe19	esophageal
OACP4 C	oacp4 c	esophageal
OE19	jroecl19	esophageal
OACM5.1 C	oacm5.1	esophageal
OACM5.1 C	oacm5_1	esophageal
OE19	oec19	esophageal
OACP4 C	oac-p4c	esophageal
OACM5.1 C	oac-m5.1 c	esophageal
SK-GT-4	sk-gt-4	esophageal
OACM5.1 C	oacm51	esophageal
OE19	jroecl 19	esophageal
KYAE-1	kyae	esophageal
OACM5.1 C	oac-m5.1	esophageal
FLO-1	flo1	esophageal
OACP4 C	oacp4c	esophageal
ESO-51	eso51	esophageal
FLO-1	flo-1	esophageal
FLO-1	flo	esophageal
ESO-51	eso-51	esophageal
OACM5.1 C	oacm5-1	esophageal
SK-GT-4	skgt4	esophageal
OE19	oe-19	esophageal
C-33 A	c33-a	cervical
OMC-1 [Human cervical carcinoma]	omc-1 [human cervical carcinoma]	cervical
OMC-1 [Human cervical carcinoma]	osaka medical college-1	cervical
C-33 A	c-33 a	cervical
C-33 A	c-33-a	cervical
C-33 A	c33a	cervical
C-33 A	c33	cervical
OMC-1 [Human cervical carcinoma]	omc1	cervical
C-33 A	c-33a	cervical
SCaBER	scaber	bladder
SK-LMS-1	sklms1	vulvar
SK-LMS-1	sk-lms-1	vulvar
SK-LMS-1	sklms-1	vulvar
GAK	gak	vulvar
KTCTL-13	rcc-er	renal
KMRC-20	kmrc-20	renal
TK-10	tk10	renal
KTCTL-26A	rcc-fg2	renal
KTCTL-195	rccjw	renal
KTCTL-195	rcc-jw	renal
KTCTL-26A	ktctl-26a	renal
KTCTL-21	rcc-ab	renal
KTCTL-13	rccer	renal
KTCTL-26A	ktctl26a	renal
Caki-1	caki1	renal
KTCTL-195	ktctl195	renal
TK-10	tk.10	renal
KTCTL-13	ktctl-13	renal
KTCTL-140	ktctl140	renal
KTCTL-1M	rccmf	renal
Caki-1	caki-1	renal
KTCTL-140	rcc-jf	renal
TK-10	tk 10	renal
KTCTL-21	ktctl21	renal
KTCTL-13	ktctl13	renal
KTCTL-21	rccab	renal
KTCTL-140	rccjf	renal
KTCTL-1M	rcc-mf	renal
KTCTL-21	ktctl-21	renal
KTCTL-26A	rccfg2	renal
KTCTL-13	ktctl 13	renal
KMRC-1	kmrc-1	renal
KTCTL-195	ktctl-195	renal
Caki-1	caki 1	renal
KTCTL-140	ktctl-140	renal
TK-10	tk-10	renal
KTCTL-1M	ktctl-1m	renal
KMRC-1	kmrc1	renal
KTCTL-1M	ktctl1m	renal
Caki-1	caki.1	renal
KMRC-20	kmrc20	renal
IHH-4	ihh-4	thyroid
K5	k5	thyroid
IHH-4	ihh4	thyroid
HCC1806	hcc1806	breast
HCC1806	hcc-1806	breast
NCI-H727	nci-h727	lung
NCI-H727	ncih727	lung
UMC-11	nci-umc-11	lung
NCI-H835	nci-h835	lung
NCI-H835	h835	lung
NCI-H835	h-835	lung
NCI-H835	ncih835	lung
NCI-H720	h-720	lung
NCI-H720	h720	lung
NCI-H720	nci-h720	lung
NCI-H720	ncih720	lung
NCI-H727	h727	lung
NCI-H727	h-727	lung
UMC-11	umc11	lung
UMC-11	umc-11	lung
HO-1-N-1	ho1-n1	oral
BICR 10	bicr-10 r	oral
BICR 10	bicr10	oral
BICR 10	bicr-10	oral
HO-1-N-1	ho1n1	oral
BICR 10	beatson institute for cancer research 10	oral
HO-1-N-1	ho-1-n-1	oral
BICR 10	bicr 10	oral
HO-1-N-1	ho1-n-1	oral
HO-1-N-1	nakata-1	oral
KON	kon	oral
BB49-HNC	bb49-scchn	oral
HO-1-u-1	ho-1-u-1	oral
HO-1-u-1	ho1-u1	oral
BB49-HNC	bb49hnc	oral
HO-1-u-1	ho1u1	oral
HO-1-u-1	ueda-1	oral
HO-1-u-1	ho1-u-1	oral
BB49-HNC	bb49-hnc	oral
BB49-HNC	bb49 hnc	oral
FaDu	fadu	pharyngeal
JHU-011	jhu011	laryngeal
JHU-011	jhu-o11	laryngeal
JHU-011	jhu-011	laryngeal
JHU-029	hnscc 029	laryngeal
PCI-04B	pci-04b	laryngeal
JHU-011	o11	laryngeal
JHU-022	jhu-o22	laryngeal
JHU-022	o22	laryngeal
JHU-022	022	laryngeal
JHU-029	jhu-o29	laryngeal
JHU-029	jhu-029	laryngeal
JHU-011	jhu 011	laryngeal
JHU-022	jhu-22	laryngeal
JHU-011	jhu-011-scc	laryngeal
JHU-022	hnscc 022	laryngeal
PCI-04B	pci-4m	laryngeal
JHU-011	011	laryngeal
JHU-022	jhu022	laryngeal
JHU-011	hnscc 011	laryngeal
JHU-011	11	laryngeal
JHU-022	jhu-022-scc	laryngeal
JHU-022	jhu-022	laryngeal
PCI-04B	pci-4b	laryngeal
PCI-04B	pci-4.2	laryngeal
JHU-029	jhu029	laryngeal
JHU-029	029	laryngeal
CAL-39	cal-39	vulvar
A-431	a431	vulvar
A-431	a-431	vulvar
SW954	sw-954	vulvar
SW954	sw 954	vulvar
CAL-39	cal 39	vulvar
A-431	a431/p	vulvar
SW954	sw954	vulvar
CAL-39	centre antoine lacassagne-39	vulvar
CAL-39	cal39	vulvar
ZR-75-30	zr7530	breast
Hs 578T	hs0578t	breast
Hs 578T	hs578t	breast
T-47D	t47d:a	breast
Hs 578T	578t	breast
T-47D	t-47d	breast
MCF-7	michigan cancer foundation-7	breast
BT-474	bt474	breast
T-47D	t-47-d	breast
Hs 578T	hs-578t	breast
T-47D	t47d	breast
MCF-7	ssmcf7	breast
UACC-812	uacc 812	breast
Hs 578T	hs-578-t	breast
UACC-812	uacc812	breast
Hs 578T	hs578	breast
BT-549	bt549	breast
MCF-7	ibmf-7	breast
MDA-MB-436	md anderson-metastatic breast-436	breast
ZR-75-30	zr75-30	breast
MDA-MB-175-VII	md anderson-metastatic breast-175-viii	breast
MDA-MB-175-VII	mda mb 175 vii	breast
ZR-75-30	zr-75-30	breast
BT-549	bt-549	breast
UACC-893	uacc893	breast
UACC-893	uacc 893	breast
MDA-MB-175-VII	mda175	breast
MDA-MB-175-VII	mda-mb-175-vii	breast
MDA-MB-175-VII	mda-175	breast
MDA-MB-175-VII	mdamb175vii	breast
YMB-1-E	ymb1e	breast
UACC-893	uacc-893	breast
BT-483	bt-483	breast
BT-483	bt483	breast
MDA-MB-436	mda-mb-436	breast
MDA-MB-436	mda mb 436	breast
MDA-MB-436	mda-mb436	breast
MCF-7	ssmcf-7	breast
T-47D	t47-d	breast
UACC-812	uacc-812	breast
Hs 578T	hs 578.t	breast
Hs 578T	hs 578t	breast
BT-549	bt.549	breast
Hs 578T	homo sapiens no. 578, tumor cells	breast
MCF-7	mcf7/wt	breast
BT-474	bt-474	breast
YMB-1-E	ymb1-e	breast
MCF-7	mcf7	breast
Hs 578T	hs_578t	breast
BT-20	bt-20	breast
MDA-MB-175-VII	mda-mb-175	breast
MDA-MB-175-VII	mda-mb-175vii	breast
MDA-MB-436	mda436	breast
UACC-893	university of arizona cell culture-893	breast
UACC-812	university of arizona cell culture-812	breast
BT-20	bt20	breast
MCF-7	mcf 7	breast
MCF-7	mcf-7	breast
YMB-1-E	ymb-1-e	breast
MDA-MB-175-VII	mdamb175	breast
BT-549	bt 549	breast
MDA-MB-436	mdamb436	breast
MCF-7	mcf.7	breast
MDA-MB-436	mda-436	breast
BT-20	bt 20	breast
MCF-7	mcf7-ctrl	breast
GCT	gct	sarcoma
GCT	giant cell tumor	sarcoma
MFH-ino	mfh-ino	sarcoma
SW982	sw982	synovial
SW982	sw 982	synovial
SW982	sw-982	synovial
JeKo-1	jeko-1	lymphoma
Granta-519	granta-519	lymphoma
Granta-519	granta519	lymphoma
JVM-2	jvm-2	lymphoma
JeKo-1	jeko1	lymphoma
JVM-2	jvm2	lymphoma
Granta-519	granta 519	lymphoma
JeKo-1	jeko	lymphoma
JeKo-1	jeko 1	lymphoma
Granta-519	g519	lymphoma
SNU-175	nci-snu-175	colon
SK-CO-1	skco1	colon
SNU-175	snu175	colon
SNU-175	snu-175	colon
CCK-81	cck81	colon
COLO 205	colo205	colon
SW948	sw 948	colon
CW-2	cw2	colon
SW626	sw 626	colon
SNU-C1	snuc1	colon
T84	t 84	colon
C2BBe1	c2bbe 1	colon
COLO 320HSR	colo 320hsr	colon
COLO 205	colo-205	colon
C2BBe1	c2bbe1	colon
COLO 205	colo.205	colon
COLO 205	colo 205	colon
GP5d	gp5d	colon
HCC2998	hcc.2998	colon
SW48	sw-48	colon
SW1417	sw1417	colon
LS123	ls123	colon
C2BBe1	caco2-bbe	colon
CL-40	cl-40	colon
LoVo	lovo	colon
LS180	ls180	colon
CL-40	cl40	colon
SW1417	sw-1417	colon
SW948	sw948	colon
SK-CO-1	sk-col-1	colon
COLO 320HSR	colo-320hsr	colon
SK-CO-1	sk col 1	colon
HCC-56	hcc-56	colon
HT-29	ht 29	colon
HT-29	ht-29	colon
C2BBe1	caco2bbe	colon
HCC2998	hcc2998	colon
HCC-56	hcc56	colon
LS123	ls 123	colon
HT-29	ht29	colon
SW1417	sw 1417	colon
SW48	sw48	colon
SW48	sw 48	colon
SW620	sw 620	colon
SK-CO-1	skco-1	colon
C2BBe1	caco-2/bbe	colon
SW1116	sw1116	colon
SW626	sw626	colon
SNU-C1	snu-c1	colon
SNU-81	snu-81	colon
HCC2998	hcc-2998	colon
COLO 320HSR	colo-320-hsr	colon
C2BBe1	caco-2bbe	colon
CL-11	cl11	colon
SK-CO-1	skcol1	colon
HCT 15	hct-15	colon
HCT 15	hct 15	colon
SNU-1040	snu1040	colon
CW-2	cw-2	colon
SNU-81	nci-snu-81	colon
SW1116	sw-1116	colon
SK-CO-1	skco 1	colon
SW626	sw-626	colon
SNU-407	snu407	colon
SNU-1040	nci-snu-1040	colon
SNU-1040	snu-1040	colon
LS180	ls-180	colon
SNU-407	nci-snu-407	colon
HCC2998	hcc 2998	colon
T84	t-84	colon
SNU-C1	nci-snu-c1	colon
C2BBe1	caco-2/bbe 1	colon
SNU-407	snu-407	colon
HCT 15	hct15	colon
CL-34	cl-34	colon
COLO 205	co 205	colon
SW1116	sw 1116	colon
LS123	ls-123	colon
C2BBe1	caco-2 bbe	colon
SW620	sw-620	colon
CCK-81	cck-81	colon
SK-CO-1	sk-co-1	colon
SW620	sw.620	colon
SNU-81	snu81	colon
COLO 320HSR	colo320hsr	colon
CL-34	cl34	colon
LS180	ls 180	colon
T84	t84	colon
CL-11	cl-11	colon
C2BBe1	bbe	colon
SW620	sw620	colon
COLO 320HSR	colo 320 hsr	colon
SW948	sw-948	colon
COLO 320HSR	colo-hsr	colon
EGI-1	egi-1	cholangiocarcinoma
EGI-1	egi1	cholangiocarcinoma
NCI-H460	nci-hut-460	lung
NCI-H1299	h-1299	lung
LCLC-103H	lclc103h	lung
NCI-H460	nci-460	lung
NCI-H810	ncih810	lung
NCI-H1581	nci-h1581	lung
IA-LM	ialm	lung
NCI-H2126	h2126	lung
NCI-H1155	h-1155	lung
NCI-H460	h-460	lung
NCI-H460	h460	lung
NCI-H1299	h1299	lung
LCLC-103H	large cell lung cancer-103h	lung
NCI-H1155	nci-h1155	lung
COR-L23	corl23	lung
NCI-H810	h-810	lung
NCI-H1155	nci-1155	lung
NCI-H661	h661	lung
LCLC-103H	lclc-103h	lung
NCI-H1299	ncih1299	lung
NCI-H1581	ncih1581	lung
NCI-H661	nci-h661	lung
COR-L23	cor-l23/p	lung
LCLC-97TM1	lclc97tm1	lung
NCI-H460	ncih460	lung
COR-L23	l23/p	lung
LCLC-97TM1	lclc-97tm1	lung
NCI-H1581	h1581	lung
COR-L23	cor-l23	lung
NCI-H810	h810	lung
NCI-H2126	ncih2126	lung
IA-LM	ia-lm	lung
NCI-H1155	ncih1155	lung
NCI-H661	h-661	lung
NCI-H460	nci.h460	lung
NCI-H661	ncih661	lung
NCI-H2126	nci-h2126	lung
NCI-H460	nci-h460	lung
NCI-H1299	nci-h1299	lung
NCI-H2126	h-2126	lung
NCI-H810	nci-h810	lung
NCI-H1155	h1155	lung
NCI-H1581	h-1581	lung
Lu-65	lu-65m	lung
Lu-99A	lu-99a	lung
Lu-65	lu-65	lung
Lu-65	c-lu65	lung
Lu-65	lu65	lung
Lu-99A	lu99a	lung
Lu-65	c-lu-65	lung
NCI-H292	h292	lung
NCI-H292	nci-h292	lung
NCI-H292	ncih292	lung
NCI-H292	hut292	lung
NCI-H292	h-292	lung
EPLC-272H	epidermoid lung cancer-272h	lung
NCI-H292	nci-hut-292	lung
EPLC-272H	eplc-272h	lung
EoL-1	eol-1-cell	leukemia
EoL-1	eol-1 cell	leukemia
EoL-1	eol1	leukemia
EoL-1	eol-1	leukemia
EoL-1	aml-eol-1	leukemia
NCI-H2595	nci-h2595	mesothelioma
NCI-H2461	nci-h2461	mesothelioma
NCI-H2461	h-2461	mesothelioma
NCI-H2810	h2810	mesothelioma
NCI-H2818	h-2818	mesothelioma
NCI-H2595	h-2595	mesothelioma
NCI-H226	nci.h226	mesothelioma
NCI-H2810	ncih2810	mesothelioma
NCI-H2591	h-2591	mesothelioma
NCI-H2595	h2595	mesothelioma
NCI-H2591	h2591	mesothelioma
MPP 89	mpp 89	mesothelioma
NCI-H226	hut-226	mesothelioma
NCI-H2818	h2818	mesothelioma
NCI-H2818	nci-h2818	mesothelioma
IST-Mes1	istmes1	mesothelioma
NCI-H2810	h-2810	mesothelioma
NCI-H2461	ncih2461	mesothelioma
NCI-H226	ncih226	mesothelioma
MPP 89	mpp89	mesothelioma
NCI-H2795	nci-h2795	mesothelioma
NCI-H2461	h2461	mesothelioma
MPP 89	mpp-89	mesothelioma
NCI-H2810	nci-h2810	mesothelioma
NCI-H2795	ncih2795	mesothelioma
IST-Mes1	ist-mes1	mesothelioma
NCI-H226	nci-h226	mesothelioma
NCI-H2591	ncih2591	mesothelioma
NCI-H226	nci h226	mesothelioma
NCI-H2795	h2795	mesothelioma
NCI-H226	hut 226	mesothelioma
NCI-H226	h226	mesothelioma
NCI-H2818	ncih2818	mesothelioma
IST-Mes1	ist-mes-1	mesothelioma
NCI-H2795	h-2795	mesothelioma
NCI-H2595	ncih2595	mesothelioma
NCI-H226	h-226	mesothelioma
NCI-H2591	nci-h2591	mesothelioma
NCI-H2373	h2373	mesothelioma
NCI-H28	ncih28	mesothelioma
NCI-H2731	nci-h2731	mesothelioma
NCI-H28	h-28	mesothelioma
NCI-H28	hut28	mesothelioma
NCI-H28	hut 28	mesothelioma
NCI-H2373	ncih2373	mesothelioma
NCI-H2052	h-2052	mesothelioma
NCI-H2373	nci-h2373	mesothelioma
NCI-H2731	h2731	mesothelioma
NCI-H2731	h-2731	mesothelioma
NCI-H2052	nci-h2052	mesothelioma
NCI-H2731	ncih2731	mesothelioma
NCI-H28	nci-h28	mesothelioma
NCI-H28	h28	mesothelioma
NCI-H2373	h-2373	mesothelioma
NCI-H2052	ncih2052	mesothelioma
NCI-H28	hut-28	mesothelioma
NCI-H2052	h2052	mesothelioma
NCI-H2052	h2052_mm	mesothelioma
MSTO-211H	msto-211	mesothelioma
NCI-H2452	h-2452	mesothelioma
NCI-H2869	h2869	mesothelioma
MSTO-211H	msto-211h	mesothelioma
MSTO-211H	mesothelioma-211h	mesothelioma
NCI-H2452	nci-h2452	mesothelioma
NCI-H2452	h2452	mesothelioma
NCI-H2869	ncih2869	mesothelioma
MSTO-211H	msto-211 h	mesothelioma
NCI-H2452	ncih2452	mesothelioma
NCI-H2869	nci-h2869	mesothelioma
NCI-H2869	h-2869	mesothelioma
MSTO-211H	msto211h	mesothelioma
MSTO-211H	211h	mesothelioma
CGTH-W-1	cgth w-1	thyroid
CGTH-W-1	cgth-w-1	thyroid
CGTH-W-1	cgthw1	thyroid
CGTH-W-1	cgth-w1	thyroid
JEG-3	jeg3	choriocarcinoma
JAR	jar	choriocarcinoma
JEG-3	jeg-3	choriocarcinoma
HSC-3	hsc 3	tongue
PE/CA-PJ15	pe/ca-pj15	tongue
PE/CA-PJ15	pe/ca-pj-15	tongue
BICR 31	bicr 31	tongue
SCC-15	scc 15	tongue
CAL-27	cal-27	tongue
BICR 22	beatson institute for cancer research 22	tongue
CAL-33	cal-33	tongue
CAL-27	cal27	tongue
PE/CA-PJ15	pe-ca-pj15	tongue
BICR 31	bicr-31	tongue
SCC-15	scc-15	tongue
BICR 22	bicr22	tongue
UPCI-SCC-090	scc90	tongue
PE/CA-PJ15	pe/ca pj15	tongue
BICR 31	bicr31	tongue
CAL-27	cal 27	tongue
BICR 22	bicr 22	tongue
SAS	sas	tongue
PCI-38	pci-38	tongue
UPCI-SCC-090	upci:scc90	tongue
UPCI-SCC-090	upciscc090	tongue
OSC-20	osc-20	tongue
OSC-19	osc19	tongue
PE/CA-PJ15	pecapj15	tongue
HSC-3	hsc-3	tongue
UPCI-SCC-090	upci-scc090	tongue
SCC-4	scc-4	tongue
PE/CA-PJ15	pe ca pj15	tongue
UPCI-SCC-090	upci-scc-090	tongue
SCC-9	scc9	tongue
HSC-3	hsc3	tongue
CAL-27	centre antoine lacassagne-27	tongue
PCI-30	pci-30	tongue
SCC-9	scc 9	tongue
SCC-25	scc-25	tongue
SCC-4	scc4	tongue
BICR 31	beatson institute for cancer research 31	tongue
OSC-20	osc20	tongue
SCC-9	scc-9	tongue
OSC-19	osc-19	tongue
UPCI-SCC-090	upci:scc090	tongue
SCC-4	scc 4	tongue
SCC-25	hscc-25	tongue
SCC-25	scc25	tongue
HSC-4	hsc-4	tongue
CAL-33	cal 33	tongue
SCC-25	scc 25	tongue
HSC-4	hsc4	tongue
BICR 22	bicr-22 m	tongue
CAL-33	centre antoine lacassagne-33	tongue
UPCI-SCC-090	scc090	tongue
UPCI-SCC-090	upci-scc-90	tongue
CAL-33	cal33	tongue
BICR 22	bicr-22	tongue
SCC-15	scc15	tongue
PE/CA-PJ15	pe_ca-pj15	tongue
VL51	vl-51	lymphoma
VL51	vl51	lymphoma
VL51	slvl	lymphoma
MY-M12	my-m12	leukemia
MY-M12	my clone m12	leukemia
MY-M12	mym12	leukemia
JVM-3	jvm-3	leukemia
JVM-3	jvm3	leukemia
ES4	es-4	ewing sarcoma
EW-3	iarc-ew 3	ewing sarcoma
ES5	es5	ewing sarcoma
EW-12	ew12	ewing sarcoma
SK-ES-1	sk-es-1	ewing sarcoma
SK-ES-1	skes1	ewing sarcoma
EW-16	iarc-ew-16	ewing sarcoma
EW-1	iarc-ew 1	ewing sarcoma
EW-18	ew18	ewing sarcoma
Rh1	sjrh-1	ewing sarcoma
EW-18	ew-18	ewing sarcoma
EW-22	iarc-ew-22	ewing sarcoma
EW-22	ew-22	ewing sarcoma
SK-NEP-1	sk-nep-1	ewing sarcoma
ES1	es1	ewing sarcoma
SK-ES-1	sk es 01	ewing sarcoma
EW-13	iarc-ew-13	ewing sarcoma
A-673	a-673	ewing sarcoma
EW-12	iarc-ew 12	ewing sarcoma
EW-24	ew24	ewing sarcoma
ES4	es4	ewing sarcoma
SK-NEP-1	sknep-1	ewing sarcoma
TC-71	gm11654	ewing sarcoma
EW-24	ew-24	ewing sarcoma
Rh1	rh1	ewing sarcoma
A-673	a673	ewing sarcoma
EW-12	iarc-ew12	ewing sarcoma
EW-11	iarc-ew 11	ewing sarcoma
SK-NEP-1	sknep1	ewing sarcoma
A-673	rms1598	ewing sarcoma
SK-NEP-1	sknep	ewing sarcoma
EW-24	iarc-ew-24	ewing sarcoma
EW-1	ew-1	ewing sarcoma
CADO-ES1	cado-es1	ewing sarcoma
A-673	rms 1598	ewing sarcoma
EW-1	ew1	ewing sarcoma
EW-18	iarc-ew-18	ewing sarcoma
CADO-ES1	cadoes1	ewing sarcoma
EW-13	ew13	ewing sarcoma
EW-11	iarc-ew-11	ewing sarcoma
Rh1	sjrh1	ewing sarcoma
EW-13	ew-13	ewing sarcoma
EW-3	iarc-ew3	ewing sarcoma
EW-1	iarc-ew1	ewing sarcoma
CADO-ES1	cado-es	ewing sarcoma
EW-12	iarc-ew-12	ewing sarcoma
TC-71	tc71	ewing sarcoma
SK-ES-1	sk-es1	ewing sarcoma
EW-12	ew-12	ewing sarcoma
EW-11	iarc-ew11	ewing sarcoma
EW-3	ew3	ewing sarcoma
ES8	es-8	ewing sarcoma
TC-71	tc-71	ewing sarcoma
EW-22	ew22	ewing sarcoma
SK-ES-1	sk-es	ewing sarcoma
Rh1	rh-1	ewing sarcoma
MHH-ES-1	mhh-es-1	ewing sarcoma
EW-7	iarc-ew 7	ewing sarcoma
EW-7	iarc-ew-7	ewing sarcoma
EW-7	ew7	ewing sarcoma
EW-16	iarc-ew16	ewing sarcoma
ES8	es8	ewing sarcoma
EW-7	iarc-ew7	ewing sarcoma
EW-13	iarc-ew13	ewing sarcoma
CADO-ES1	cado-es-1	ewing sarcoma
EW-16	iarc-ew 16	ewing sarcoma
ES7	es7	ewing sarcoma
ES7	es-7	ewing sarcoma
EW-13	iarc-ew 13	ewing sarcoma
CADO-ES1	cado es1	ewing sarcoma
ES6	es6	ewing sarcoma
EW-16	ew-16	ewing sarcoma
MHH-ES-1	mhhes1	ewing sarcoma
ES3	es3	ewing sarcoma
CADO-ES1	center for adult diseases osaka-ewing sarcoma 1	ewing sarcoma
SK-ES-1	skes-1	ewing sarcoma
EW-3	ew-3	ewing sarcoma
EW-11	ew11	ewing sarcoma
MHH-ES-1	mhh-es1	ewing sarcoma
EW-7	ew-7	ewing sarcoma
CADO-ES1	escado1	ewing sarcoma
EW-11	ew-11	ewing sarcoma
EW-16	ew16	ewing sarcoma
EW-1	iarc-ew-1	ewing sarcoma
EW-3	iarc-ew-3	ewing sarcoma
ES3	es-3	ewing sarcoma
ES1	es-1	ewing sarcoma
ES6	es-6	ewing sarcoma
DJM-1	djm-1	skin
DJM-1	djm1	skin
TGW	tgw-i-nu	adrenal
SiMa	sima	adrenal
TGW	tgw-nu	adrenal
TGW	tgw-nu-1	adrenal
TGW	tog	adrenal
TGW	tgw	adrenal
BICR 78	bicr-78	oral
BICR 78	bicr 78	oral
BICR 78	bicr78	oral
HSC-2	hsc-2	oral
BICR 78	beatson institute for cancer research 78	oral
HSC-2	hsc2	oral
HN	hn	oral
VCaP	vertebral cancer of the prostate	prostate
LNCaP clone FGC	lncap-atcc	prostate
22Rv1	22rv-1	prostate
DU145	du_145	prostate
LNCaP clone FGC	lncap.fgc	prostate
22Rv1	22rv1	prostate
LNCaP clone FGC	lncap fgc	prostate
PC-3	pc-3	prostate
22Rv1	cwr22rv1	prostate
22Rv1	cwr-22rv1	prostate
LNCaP clone FGC	lncap-fgc	prostate
VCaP	vcap	prostate
22Rv1	cwr22-rv1	prostate
DU145	du145	prostate
PC-3	pc.3	prostate
22Rv1	cwr22r-v1	prostate
LNCaP clone FGC	lncap-clone-fgc	prostate
LNCaP clone FGC	lncap clone fgc	prostate
DU145	duke university 145	prostate
DU145	du-145	prostate
PC-3	pc3	prostate
22Rv1	cwr22r	prostate
22Rv1	cwr22-r1	prostate
DU145	du 145	prostate
SW962	sw962	vulvar
SW962	sw 962	vulvar
SW962	sw-962	vulvar
MRK-nu-1	mrknu-1	breast
CAL-51	cal51	breast
MDA-MB-157	mdamb157	breast
COLO 824	colo-824	breast
CAL-148	cal 148	breast
CAL-148	cal148	breast
Evsa-T	evsa-t	breast
CAL-85-1	cal851	breast
MDA-MB-157	mda-mb157	breast
CAL-120	cal-120	breast
COLO 824	colo 824	breast
CAL-85-1	cal-85-1	breast
OCUB-M	ocub-1m	breast
DU4475	du4475	breast
Evsa-T	evsat	breast
CAL-85-1	centre antoine lacassagne-85-1	breast
OCUB-M	ocub-1 monolayered	breast
DU4475	duke university 4475	breast
MRK-nu-1	mrknu1	breast
OCUB-M	ocubm	breast
MRK-nu-1	mrk-nu-i	breast
DU4475	du 4475	breast
CAL-148	cal-148	breast
COLO 824	colo824	breast
MDA-MB-157	mda157	breast
Evsa-T	evsa/t	breast
OCUB-M	ocub-m	breast
MRK-nu-1	mrk-nu1	breast
DU4475	du-4475	breast
CAL-148	centre antoine lacassagne-148	breast
HDQ-P1	hdqp1	breast
CAL-85-1	cal 85-1	breast
MDA-MB-157	md anderson-metastatic breast-157	breast
CAL-51	cal 51	breast
MRK-nu-1	mrk-nu-1	breast
EFM-192A	efm-192a	breast
MDA-MB-157	mb 157	breast
MFM-223	mfm-223	breast
CAL-120	cal 120	breast
MDA-MB-330	mda-mb-330	breast
MDA-MB-330	mda330	breast
CAL-51	centre antoine lacassagne-51	breast
CAL-85-1	cal85-1	breast
MDA-MB-157	mb157	breast
Evsa-T	evsa t	breast
MDA-MB-157	mda-157	breast
EFM-192A	efm192	breast
MDA-MB-157	mda-mb-157	breast
MDA-MB-330	mdamb330	breast
MDA-MB-330	mda-330	breast
EFM-192A	efm192a	breast
HDQ-P1	hdq-p1	breast
CAL-120	cal120	breast
MDA-MB-330	md anderson-metastatic breast-330	breast
MFM-223	mfm223	breast
CAL-51	cal-51	breast
COR-L321	corl321	lung
COR-L321	cor-l321	lung
OV7	ov7	ovarian
OV7	ov-7	ovarian
HT115	ht-115	colon
COLO 678	colo 678	colon
HCT 116	hct-116	colon
COLO 678	colo678	colon
RKO	rko	colon
KM12	km.12	colon
HCT 116	hct 116	colon
HCT 116	cocl2	colon
HCT 116	hct116	colon
HCT 116	hct_116	colon
COLO 678	colo-678	colon
KM12	km12	colon
HT115	ht 115	colon
KM12	km-12	colon
HT115	ht115	colon
HT-55	ht55	colon
MDST8	t8	colon
HT-55	ht-55	colon
HCT 116	hct.116	colon
MDST8	mdst8	colon
TGBC11TKB	tgbc-11-tkb	gastric
HGC-27	hgc 27	gastric
TGBC11TKB	tgbc11t	gastric
HGC-27	hgc-27	gastric
TGBC11TKB	tgbc11tkb	gastric
HGC-27	hgc27	gastric
5637	5637	bladder
639V	639v	bladder
LB831-BLC	lb831	bladder
LB831-BLC	lb831-blc	bladder
DSH1	dsh1	bladder
UM-UC-3	umuc3	bladder
UM-UC-3	um-uc3	bladder
BFTC-905	bftc905	bladder
UM-UC-3	umuc-3	bladder
VM-CUB-1	vmcub1	bladder
T24	t24	bladder
HT-1376	ht1376	bladder
SW780	sw-780	bladder
CAL-29	cal 29	bladder
VM-CUB-1	vm cub 1	bladder
